Client_ID,Year,Area_Comercial,Area_Hibrida,Area_Residencial,Area_Industrial,BRL_Potencial
Client #595,2021,28978.0,0,59260.0,61294.0,30531286.7944021
Client #5,2021,3198.69,0,75857.09,58884.1,30527578.7590703
Client #595,2022,28978.0,0,59260.0,61294.0,29466140.5192908
Client #940,2021,11692.0,0,67626.0,57267.0,29345831.5831351
Client #5,2022,3198.69,0,75857.09,58884.1,29164114.4179586
Client #5,2020,3198.69,0,75857.09,58884.1,28653334.1370806
Client #595,2020,28978.0,0,59260.0,61294.0,28402173.4275978
Client #940,2022,11692.0,0,67626.0,57267.0,28130313.8308456
Client #940,2020,11692.0,0,67626.0,57267.0,27463212.6006326
Client #10,2021,5331.15,0,50987.62,54077.24,25134536.0600701
Client #10,2022,5331.15,0,50987.62,54077.24,24218078.5251428
Client #10,2020,5331.15,0,50987.62,54077.24,23405690.7354246
Client #3542,2021,7729.0,0,34508.0,21807.0,12880000.7088697
Client #3542,2022,7729.0,0,34508.0,21807.0,12259749.8202173
Client #3542,2020,7729.0,0,34508.0,21807.0,12134303.6653372
Client #946,2021,15698.0,0,34297.0,9706.0,9826541.76311117
Client #946,2020,15698.0,0,34297.0,9706.0,9394294.52850448
Client #946,2022,15698.0,0,34297.0,9706.0,9210083.41350787
Client #966,2021,5811.0,0,21956.0,16932.0,9185673.09257475
Client #12,2021,8529.84,0,24973.53,14420.6,9141818.46022174
Client #3772,2021,17152.44,0,25189.96,10926.01,8801916.31476556
Client #966,2022,5811.0,0,21956.0,16932.0,8791033.34204583
Client #3329,2021,19000.0,0,30500.0,7300.0,8733195.8357592
Client #12,2022,8529.84,0,24973.53,14420.6,8692941.26724368
Client #12,2020,8529.84,0,24973.53,14420.6,8622391.06233184
Client #966,2020,5811.0,0,21956.0,16932.0,8610670.75527607
Client #3329,2020,19000.0,0,30500.0,7300.0,8352645.72180913
Client #3772,2022,17152.44,0,25189.96,10926.01,8349148.98327379
Client #3772,2020,17152.44,0,25189.96,10926.01,8326347.10639614
